Лет опыта,Возраст,Увольнений в трудовой,Высших образований,Среднеспециальных образований,В браке,Должность,Повышенный оклад
1,24,1,1,0,Нет,Не нанят,Нет
12,39,0,0,1,Нет,Техник,Нет
10,36,0,0,0,Да,Оператор,Нет
23,51,1,0,1,Да,Не нанят,Нет
15,39,0,1,0,Нет,Мастер,Нет
20,40,0,1,0,Да,Начальник производства,Нет
19,43,0,1,0,Нет,Мастер,Нет
21,43,0,0,1,Нет,Оператор,Нет
7,32,0,0,0,Нет,Не нанят,Нет
33,56,0,2,0,Да,Мастер,Премия
23,52,0,0,0,Да,Оператор,Нет
39,63,1,1,0,Да,Не нанят,Нет
16,41,0,2,0,Да,Технолог,Нет
35,55,0,0,0,Да,Техник,Нет
29,58,1,0,0,Да,Не нанят,Нет
35,63,0,0,1,Да,Техник,Премия
26,53,0,0,1,Да,Техник,Нет
15,41,0,1,0,Да,Мастер,Премия
33,61,0,0,1,Да,Техник,Премия
29,56,0,1,0,Да,Начальник производства,Премия
22,45,0,1,0,Нет,Мастер,Нет
17,40,1,0,1,Нет,Не нанят,Нет
28,53,0,0,1,Да,Техник,Премия
33,60,1,0,0,Да,Не нанят,Нет
10,32,0,0,1,Да,Оператор,Премия
29,58,0,1,0,Да,Мастер,Премия
33,57,1,0,1,Да,Не нанят,Нет
19,40,0,1,0,Да,Мастер,Нет
29,49,0,0,1,Нет,Оператор,Нет
23,48,0,1,0,Нет,Мастер,Нет
27,48,1,0,1,Да,Не нанят,Нет
4,24,0,0,0,Да,Не нанят,Нет
21,42,0,0,1,Да,Техник,Премия
38,63,1,0,1,Да,Не нанят,Нет
15,44,0,0,1,Нет,Техник,Нет
22,46,0,0,0,Да,Техник,Нет
23,50,1,1,0,Да,Не нанят,Нет
13,39,0,1,0,Нет,Мастер,Нет
12,35,0,0,1,Нет,Оператор,Нет
6,29,0,1,0,Нет,Техник,Нет
27,50,0,0,1,Нет,Оператор,Нет
21,43,1,1,0,Да,Не нанят,Нет
12,33,0,1,0,Да,Технолог,Премия
27,50,2,0,1,Нет,Не нанят,Нет
18,44,1,1,0,Нет,Не нанят,Нет
13,34,0,0,1,Да,Техник,Нет
30,52,0,0,1,Да,Техник,Нет
18,38,0,0,1,Нет,Оператор,Нет
25,50,0,1,0,Нет,Мастер,Нет
12,33,1,0,1,Нет,Не нанят,Нет
4,29,0,0,0,Да,Не нанят,Нет
32,52,0,2,0,Да,Начальник производства,Премия
31,52,0,0,1,Да,Техник,Премия
1,30,1,0,1,Да,Не нанят,Нет
9,37,0,0,1,Да,Техник,Нет
0,22,1,1,0,Нет,Не нанят,Нет
9,34,0,0,0,Да,Не нанят,Нет
7,35,1,0,1,Да,Не нанят,Нет
21,43,1,0,0,Нет,Не нанят,Нет
14,36,1,0,1,Да,Не нанят,Нет
22,43,0,0,1,Да,Техник,Премия
6,27,0,0,1,Нет,Оператор,Нет
35,57,1,1,0,Да,Не нанят,Нет
22,49,0,1,0,Нет,Мастер,Нет
17,43,0,1,0,Да,Мастер,Двойная премия
33,59,0,1,0,Да,Мастер,Двойная премия
15,39,0,0,0,Нет,Оператор,Нет
28,54,0,0,1,Да,Техник,Премия
32,57,1,0,1,Да,Не нанят,Нет
27,56,0,0,0,Да,Оператор,Нет
20,47,0,0,1,Нет,Оператор,Нет
18,47,0,0,1,Нет,Оператор,Нет
13,42,0,1,0,Да,Мастер,Премия
19,45,1,0,1,Нет,Не нанят,Нет
29,49,0,0,1,Да,Техник,Нет
12,33,1,0,0,Да,Не нанят,Нет
15,42,0,0,1,Да,Оператор,Нет
7,31,1,1,0,Нет,Не нанят,Нет
0,27,1,0,1,Да,Не нанят,Нет
16,45,0,2,0,Да,Мастер,Нет
18,45,0,0,1,Да,Техник,Нет
9,35,0,0,1,Да,Техник,Нет
37,60,1,1,0,Да,Не нанят,Нет
12,34,0,0,1,Да,Оператор,Нет
14,41,1,0,1,Да,Не нанят,Нет
7,35,0,0,0,Да,Оператор,Нет
34,54,1,0,1,Да,Не нанят,Нет
29,49,1,0,1,Нет,Не нанят,Нет
23,51,0,0,1,Да,Оператор,Нет
13,38,1,0,0,Да,Не нанят,Нет
38,58,0,0,1,Да,Оператор,Нет
31,59,0,1,0,Да,Начальник производства,Премия
34,60,0,1,0,Да,Начальник производства,Двойная премия
2,28,1,1,0,Да,Не нанят,Нет
33,56,0,0,1,Да,Техник,Нет
27,53,0,1,0,Да,Мастер,Премия
11,35,0,0,1,Нет,Оператор,Нет
6,32,0,0,1,Нет,Оператор,Нет
11,34,0,0,1,Нет,Оператор,Нет
20,48,1,0,1,Да,Не нанят,Нет
22,42,1,0,1,Да,Не нанят,Нет
2,31,0,0,0,Да,Не нанят,Нет
29,49,0,0,0,Да,Оператор,Нет
24,46,0,1,0,Да,Начальник производства,Премия
20,48,1,0,1,Нет,Не нанят,Нет
0,29,0,0,1,Да,Оператор,Нет
13,40,0,1,0,Да,Технолог,Двойная премия
38,63,0,0,1,Да,Техник,Премия
25,48,0,0,1,Да,Техник,Премия
2,27,0,0,1,Да,Техник,Нет
29,58,0,1,0,Да,Начальник производства,Двойная премия
24,47,0,0,1,Да,Техник,Премия
11,36,0,1,0,Да,Мастер,Нет
30,52,0,0,1,Да,Техник,Премия
11,35,1,1,0,Да,Не нанят,Нет
10,32,1,0,1,Да,Не нанят,Нет
20,44,1,0,1,Да,Не нанят,Нет
32,56,0,1,0,Да,Мастер,Премия
25,50,0,0,1,Да,Оператор,Нет
3,32,0,0,1,Да,Техник,Нет
0,28,1,0,1,Нет,Не нанят,Нет
39,62,0,0,1,Да,Оператор,Премия
6,28,0,0,1,Да,Техник,Премия
22,44,1,0,1,Нет,Не нанят,Нет
13,38,0,0,1,Нет,Оператор,Нет
32,55,0,1,0,Да,Мастер,Двойная премия
38,60,1,0,1,Да,Не нанят,Нет
8,30,0,0,1,Да,Техник,Нет
2,31,0,1,0,Нет,Техник,Нет
17,39,0,0,1,Да,Техник,Премия
22,46,0,0,1,Да,Техник,Нет
0,21,0,1,0,Нет,Техник,Нет
28,57,0,0,1,Да,Техник,Нет
23,46,1,0,1,Да,Не нанят,Нет
18,38,0,0,1,Да,Техник,Нет
27,49,0,0,0,Нет,Оператор,Нет
14,34,0,1,0,Да,Мастер,Двойная премия
14,38,0,0,1,Да,Техник,Нет
19,47,0,0,1,Да,Техник,Нет
15,40,0,0,1,Да,Техник,Премия
20,49,1,1,0,Нет,Не нанят,Нет
37,63,0,1,0,Да,Мастер,Премия
13,38,0,0,1,Да,Техник,Премия
11,36,1,0,1,Да,Не нанят,Нет
32,59,1,0,1,Да,Не нанят,Нет
19,44,0,0,1,Да,Техник,Нет
24,48,1,1,0,Да,Не нанят,Нет
30,50,0,1,0,Нет,Мастер,Нет
38,65,0,0,1,Да,Техник,Нет
7,36,1,0,1,Нет,Не нанят,Нет
4,33,0,1,0,Нет,Техник,Нет
33,54,1,0,1,Да,Не нанят,Нет
15,42,0,0,0,Да,Оператор,Нет
14,34,1,0,1,Да,Не нанят,Нет
22,47,0,0,0,Да,Техник,Нет
15,43,1,0,1,Да,Не нанят,Нет
2,26,1,1,0,Да,Не нанят,Нет
27,50,2,0,1,Да,Не нанят,Нет
39,66,0,0,1,Да,Оператор,Премия
26,50,0,0,1,Да,Техник,Нет
17,46,2,0,1,Нет,Не нанят,Нет
5,29,1,1,0,Да,Не нанят,Нет
13,35,0,1,0,Нет,Мастер,Нет
17,46,0,1,0,Нет,Мастер,Нет
13,38,1,0,1,Нет,Не нанят,Нет
35,63,1,0,1,Да,Не нанят,Нет
6,30,0,0,0,Да,Оператор,Нет
39,63,0,1,0,Да,Начальник производства,Премия
18,46,1,0,1,Нет,Не нанят,Нет
21,49,0,1,0,Нет,Мастер,Нет
5,33,0,0,1,Да,Техник,Нет
34,54,0,1,0,Да,Начальник производства,Двойная премия
1,25,2,0,1,Нет,Не нанят,Нет
7,29,0,0,1,Нет,Техник,Нет
26,51,0,0,1,Да,Техник,Премия
25,46,0,0,1,Да,Техник,Нет
11,38,1,0,1,Нет,Не нанят,Нет
8,37,0,1,0,Да,Техник,Премия
30,56,1,1,0,Да,Не нанят,Нет
6,27,0,0,1,Нет,Оператор,Нет
14,37,0,0,1,Нет,Техник,Нет
21,50,2,1,0,Нет,Не нанят,Нет
39,64,0,0,1,Да,Оператор,Нет
25,45,0,0,1,Нет,Оператор,Нет
39,63,0,0,1,Да,Техник,Премия
34,59,0,0,0,Да,Техник,Нет
17,46,0,0,1,Да,Техник,Нет
29,56,0,0,1,Да,Техник,Премия
25,45,0,0,1,Да,Оператор,Премия
33,58,0,1,0,Да,Мастер,Премия
38,59,1,0,1,Да,Не нанят,Нет
15,42,0,1,0,Нет,Мастер,Нет
26,52,1,1,0,Да,Не нанят,Нет
8,36,0,1,0,Нет,Техник,Нет
31,60,0,0,1,Да,Техник,Нет
4,29,2,0,1,Нет,Не нанят,Нет
11,37,1,0,1,Да,Не нанят,Нет
31,52,0,0,0,Да,Оператор,Нет
6,34,0,0,0,Да,Не нанят,Нет
37,66,0,0,1,Да,Техник,Премия
32,59,0,0,1,Да,Техник,Нет
15,36,0,0,0,Нет,Не нанят,Нет
5,27,0,0,0,Да,Оператор,Нет
27,56,0,0,1,Да,Техник,Нет
3,31,1,1,0,Да,Не нанят,Нет
1,24,1,0,1,Да,Не нанят,Нет
26,54,0,0,1,Да,Техник,Премия
27,51,1,1,0,Да,Не нанят,Нет
30,59,0,0,1,Да,Техник,Премия
13,42,0,0,1,Нет,Оператор,Нет
3,30,0,0,0,Нет,Не нанят,Нет
10,36,0,0,1,Нет,Техник,Нет
23,48,1,0,1,Да,Не нанят,Нет
3,27,0,0,0,Да,Не нанят,Нет
19,47,1,0,0,Да,Не нанят,Нет
9,35,2,0,1,Нет,Не нанят,Нет
4,33,0,0,1,Да,Техник,Нет
6,28,1,1,0,Нет,Не нанят,Нет
36,61,0,0,0,Да,Оператор,Нет
10,36,0,0,1,Нет,Оператор,Нет
33,55,2,0,1,Да,Не нанят,Нет
25,48,0,1,0,Да,Начальник производства,Нет
24,52,0,0,1,Да,Техник,Премия
17,42,0,1,0,Нет,Мастер,Нет
21,46,1,1,0,Нет,Не нанят,Нет
26,50,1,1,0,Нет,Не нанят,Нет
39,65,0,0,0,Да,Техник,Нет
31,51,0,0,1,Да,Техник,Премия
27,56,0,0,0,Да,Оператор,Нет
18,46,0,1,0,Да,Мастер,Премия
7,34,2,1,0,Да,Не нанят,Нет
37,60,0,1,0,Да,Начальник производства,Двойная премия
29,57,1,0,1,Да,Не нанят,Нет
21,49,0,0,1,Да,Оператор,Премия
36,64,1,1,0,Да,Не нанят,Нет
0,21,1,0,1,Нет,Не нанят,Нет
6,28,1,0,1,Нет,Не нанят,Нет
20,45,1,1,0,Нет,Не нанят,Нет
32,61,0,1,0,Да,Начальник производства,Премия
8,29,0,0,1,Нет,Оператор,Нет
18,47,0,1,0,Да,Мастер,Премия
11,36,0,1,0,Да,Технолог,Нет
12,37,2,0,1,Нет,Не нанят,Нет
11,31,1,0,1,Нет,Не нанят,Нет
23,48,1,1,0,Нет,Не нанят,Нет
30,51,1,2,0,Да,Техник,Нет
16,39,0,0,0,Да,Не нанят,Нет
24,52,0,0,1,Да,Техник,Нет
36,58,0,0,1,Да,Техник,Премия
7,34,0,1,0,Да,Техник,Нет
31,55,0,0,1,Да,Техник,Нет
12,37,0,1,0,Нет,Мастер,Нет
28,54,0,1,0,Да,Начальник производства,Двойная премия
9,32,1,0,1,Да,Не нанят,Нет
22,48,0,0,1,Да,Оператор,Нет
37,57,1,1,0,Да,Не нанят,Нет
15,41,1,0,1,Да,Не нанят,Нет
7,27,0,0,1,Да,Техник,Нет
7,36,0,1,0,Да,Техник,Нет
17,43,0,0,1,Нет,Оператор,Нет
30,56,2,0,1,Да,Не нанят,Нет
30,53,2,0,0,Да,Не нанят,Нет
9,37,0,0,1,Нет,Техник,Нет
18,43,0,0,1,Да,Техник,Нет
29,57,1,1,0,Да,Не нанят,Нет
0,29,1,0,1,Нет,Не нанят,Нет
13,35,0,1,0,Да,Мастер,Премия
19,40,1,1,0,Да,Не нанят,Нет
20,46,1,0,1,Нет,Не нанят,Нет
37,63,2,0,1,Да,Не нанят,Нет
22,46,0,0,0,Нет,Не нанят,Нет
13,40,0,0,1,Нет,Техник,Нет
17,45,0,0,1,Нет,Оператор,Нет
5,29,2,2,0,Нет,Техник,Нет
36,60,0,0,0,Да,Оператор,Нет
35,60,0,0,1,Да,Техник,Нет
23,46,0,0,1,Нет,Оператор,Нет
14,34,1,0,0,Нет,Не нанят,Нет
36,63,0,0,1,Да,Техник,Премия
8,33,0,0,0,Да,Не нанят,Нет
22,46,0,0,1,Да,Техник,Нет
39,67,1,0,1,Да,Не нанят,Нет
30,51,0,0,1,Да,Техник,Премия
4,28,0,1,0,Нет,Техник,Нет
8,37,0,0,1,Да,Техник,Нет
3,25,0,0,1,Да,Техник,Нет
18,46,0,0,1,Нет,Оператор,Нет
11,31,0,1,0,Да,Технолог,Двойная премия
15,41,1,1,0,Нет,Не нанят,Нет
25,48,0,0,1,Нет,Техник,Нет
1,28,1,0,1,Да,Не нанят,Нет
24,50,0,1,0,Да,Мастер,Премия
6,26,0,0,1,Нет,Техник,Нет
36,57,1,0,0,Да,Не нанят,Нет
1,22,1,0,1,Да,Не нанят,Нет
15,35,0,0,1,Нет,Оператор,Нет
27,48,0,0,0,Да,Техник,Нет
29,51,0,1,0,Да,Начальник производства,Двойная премия
15,40,1,0,1,Нет,Не нанят,Нет
37,57,1,0,1,Да,Не нанят,Нет
14,41,0,0,1,Нет,Оператор,Нет
28,53,1,0,1,Да,Не нанят,Нет
23,44,0,0,1,Нет,Техник,Нет
23,52,0,1,0,Да,Начальник производства,Нет
38,62,0,1,0,Да,Начальник производства,Нет
34,59,1,2,0,Да,Техник,Нет
34,57,1,0,1,Да,Не нанят,Нет
21,47,0,0,1,Да,Техник,Премия
28,57,0,0,1,Да,Техник,Премия
21,42,0,0,0,Да,Не нанят,Нет
32,55,0,0,1,Да,Техник,Нет
38,64,1,1,0,Да,Не нанят,Нет
19,48,0,0,1,Нет,Оператор,Нет
12,39,0,0,1,Нет,Оператор,Нет
39,59,0,0,1,Да,Техник,Премия
28,48,0,0,1,Нет,Техник,Нет
25,48,1,1,0,Да,Не нанят,Нет
3,24,1,0,1,Да,Не нанят,Нет
24,46,0,0,1,Нет,Техник,Нет
18,38,0,0,1,Нет,Оператор,Нет
36,58,1,0,0,Да,Не нанят,Нет
13,41,0,0,1,Да,Техник,Нет
33,53,0,0,0,Да,Техник,Нет
38,61,0,1,0,Да,Начальник производства,Премия
22,46,0,1,0,Нет,Мастер,Нет
16,44,0,0,1,Нет,Оператор,Нет
18,38,1,0,1,Да,Не нанят,Нет
33,55,0,1,0,Да,Начальник производства,Нет
28,50,1,0,1,Нет,Не нанят,Нет
21,47,0,0,1,Да,Оператор,Нет
33,62,0,0,1,Да,Оператор,Премия
24,45,0,0,1,Нет,Оператор,Нет
36,61,0,0,0,Да,Оператор,Нет
16,42,1,0,0,Да,Не нанят,Нет
30,54,0,0,1,Да,Техник,Премия
27,51,1,0,0,Да,Не нанят,Нет
27,47,0,0,1,Нет,Техник,Нет
11,32,0,0,0,Да,Техник,Нет
1,27,0,1,0,Да,Техник,Нет
6,32,0,1,0,Да,Мастер,Нет
18,39,0,0,1,Нет,Техник,Нет
0,29,0,2,0,Да,Техник,Нет
22,49,0,1,0,Нет,Мастер,Нет
32,54,0,0,1,Да,Техник,Нет
0,21,0,0,1,Нет,Оператор,Нет
7,29,0,2,0,Да,Мастер,Премия
34,55,0,0,1,Да,Техник,Премия
28,51,1,0,1,Да,Не нанят,Нет
6,29,0,0,1,Да,Техник,Нет
7,35,0,1,0,Да,Техник,Премия
28,49,1,1,0,Нет,Не нанят,Нет
8,33,0,0,0,Нет,Не нанят,Нет
31,58,0,0,1,Да,Техник,Нет
38,63,0,1,0,Да,Мастер,Нет
39,60,0,0,1,Да,Техник,Нет
39,61,0,0,0,Да,Оператор,Нет
30,59,1,1,0,Да,Не нанят,Нет
26,53,0,1,0,Да,Начальник производства,Двойная премия
35,55,1,0,1,Да,Не нанят,Нет
6,29,0,0,1,Нет,Оператор,Нет
3,23,0,0,1,Да,Оператор,Нет
37,60,0,1,0,Да,Начальник производства,Двойная премия
13,41,0,0,1,Нет,Оператор,Нет
9,31,1,0,1,Да,Не нанят,Нет
20,48,0,0,0,Нет,Не нанят,Нет
29,53,0,0,1,Да,Техник,Премия
32,60,0,0,0,Да,Оператор,Нет
34,62,0,0,1,Да,Техник,Премия
